"hhid","province","zone","rice","area_rice_harvested","area_rice_planted","qty_rice_harvested","qty_rice_own_use","qty_rice_sale","qty_rice_gift","qty_rice_pay","qty_rice_feed","qty_rice_seed","qty_rice_lost","qty_rice_processed","value_rice_prod","cashew","area_cashew_harvested","area_cashew_planted","qty_cashew_harvested","qty_cashew_own_use","qty_cashew_sale","qty_cashew_gift","qty_cashew_pay","qty_cashew_feed","qty_cashew_seed","qty_cashew_lost","qty_cashew_processed","cashew_harv_sold_pct","sold_cashew","cashew_area_agland_pct","cashew_area_total_pct","cashew_price_impt","value_cashew_prod","cashew_price"
"HID648530",9,"Coastal",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID648586",21,"Plain",1,1.03999996185303,1.03999996185303,8320,800,5850,0,0,70,1600,0,0,7072000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID648609",14,"Plain",1,1.14999997615814,1.14999997615814,3500,2000,1500,0,0,0,0,0,0,3150000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID648623",6,"Tonle Sap",1,1.5,1.5,500,0,0,0,0,0,0,0,0,450000,1,NA,NA,500,0,500,0,0,0,0,0,0,1,1,NA,NA,0,1500000,3000
"HID648648",15,"Tonle Sap",1,0.800000011920929,0.800000011920929,2000,0,0,0,0,0,0,0,0,1600000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID648650",17,"Tonle Sap",1,3,3,3000,2000,1000,0,0,0,0,0,0,3090000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID648664",7,"Coastal",1,0.5,0.5,1400,0,0,0,0,0,0,0,0,1400000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID648729",20,"Plain",1,0.300000011920929,0.300000011920929,500,50,0,0,0,0,50,0,400,410000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID648790",3,"Plain",1,0.100000001490116,0.100000001490116,300,285,0,0,0,0,15,0,0,246000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID648826",7,"Coastal",1,0.328999996185303,0.328999996185303,700,210,210,0,0,0,0,0,0,770000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID648931",8,"Plain",1,0.100000001490116,0.100000001490116,200,0,0,0,0,0,0,0,0,160000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID648968",8,"Plain",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID648978",14,"Plain",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID648987",21,"Plain",1,1.79999995231628,1.79999995231628,10500,1000,9500,0,0,0,0,0,0,8400000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID649002",3,"Plain",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID649026",12,"Phnom Penh",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID649049",7,"Coastal",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID649196",5,"Mountain",1,0.200000002980232,0.200000002980232,600,0,0,0,0,0,0,0,0,6e+05,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID649263",6,"Tonle Sap",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID649322",18,"Coastal",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID649368",25,"Plain",1,0.300000011920929,0.300000011920929,300,0,0,0,0,0,0,0,0,255000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID649429",10,"Mountain",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.36111113,0.36111113,0,NA,NA
"HID649629",3,"Plain",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID649784",13,"Mountain",1,2,2,2500,1000,1500,0,0,0,0,0,0,4e+06,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID649812",20,"Plain",1,0.970000028610229,0.970000028610229,2000,0,0,0,0,0,0,0,0,1640000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
