"hhid","province","raised_Poultry","raised_cattle_buffalo","raised_Livestock","raised_Livestock_Poultry","ag_hh_homelot","ag_area_homelot","ag_hh_parcel","ag_area_parcel","ag_hh","ag_area","zone","fhh","edu_hh","edu_hh_head","covid_shock","ag_comm","ag_assoc","ag_comm_assoc","animal_area","animal_ded_area","homelot_area","parcel_area","holding_area","animal_area_rate","rice","rice_harv_sold_pct","sold_rice","rice_area_agland_pct","rice_area_total_pct","rice_price_impt","value_rice_prod","rice_price","cashew","area_cashew_harvested","area_cashew_planted","qty_cashew_harvested","qty_cashew_own_use","qty_cashew_sale","qty_cashew_gift","qty_cashew_pay","qty_cashew_feed","qty_cashew_seed","qty_cashew_lost","qty_cashew_processed","cashew_harv_sold_pct","sold_cashew","cashew_area_agland_pct","cashew_area_total_pct","cashew_price_impt","value_cashew_prod","cashew_price","animal_disease","irrigation","drought","flood","ag_extension_training","family_hours","family_full_days","family_work_days"
"HID101624",17,1,1,1,1,1,0.05,1,2.89999997615814,1,2.95,"Tonle Sap",0,1,1,0,0,0,0,0.0020000000949949,1,0.05,2.89999997615814,2.95,0.00067796611,1,0.5,1,0.98305088,0.98305088,0,3600000,900,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,2445,305.625,615
"HID101636",4,1,1,1,1,0,0,1,0.5,1,0.5,"Tonle Sap",0,2,2,0,0,0,0,NA,0,0.018,0.5,0.51800001,NA,1,0,0,1,0.96525097,1,2700000,900,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,1,0,0,0,585,73.125,120
"HID101703",1,NA,NA,NA,NA,1,0.011,0,0,1,0.011,"Tonle Sap",1,2,0,0,0,0,0,NA,0,0.011,NA,0.011,NA,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,1,0,0,0,112,14,112
"HID101774",14,1,1,1,1,1,0.09,1,1.50999998740852,1,1.6,"Plain",0,1,1,0,0,0,0,0.0020000000949949,1,0.09,1.51000000722706,1.6,0.0012500001,1,0.33333334,1,0.94374996,0.94374996,0,2400000,800,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,2880,360,720
"HID101937",3,0,1,1,1,0,0,1,0.3,1,0.30000001,"Plain",0,2,2,1,0,0,0,NA,0,0.0144,0.300000011920929,0.31440002,NA,1,0,0,1,0.95419848,1,1640000,820,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,1,0,0,0,2304,288,384
"HID102011",16,0,0,1,1,1,0.054,1,10,1,10.054,"Mountain",0,2,NA,1,0,0,0,NA,0,0.054,10,10.054,NA,0,NA,NA,NA,NA,0,NA,NA,1,5,5,10000,0,10000,0,0,0,0,0,0,1,1,0.49731451,0.49731451,0,45000000,4500,0,0,0,0,0,630,78.75,70
"HID102100",20,1,1,1,1,1,0.08,1,0.5,1,0.57999998,"Plain",0,2,1,0,0,0,0,0.0149999996647239,1,0.08,0.5,0.57999998,0.02586207,1,0,0,0.86206901,0.86206901,1,574000,820,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,2880,360,720
"HID102181",14,1,1,1,1,1,0.05,1,1.1,1,1.15,"Plain",1,2,1,0,0,0,0,0.0020000000949949,1,0.05,1.10000002384186,1.15,0.0017391306,1,0.66666669,1,0.95652181,0.95652181,0,6300000,840,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,1,0,0,0,1070,133.75,240
"HID102229",22,1,0,0,1,1,0.09,1,2,1,2.0899999,"Tonle Sap",0,1,1,1,0,0,0,NA,0,0.09,2,2.0899999,NA,1,0,0,0.95693785,0.95693785,1,2700000,900,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,690,86.25,90
"HID102441",3,1,0,0,1,1,0.0216,1,7,1,7.0215998,"Plain",0,1,1,0,0,0,0,0.0015000000130385,1,0.0216,7,7.0215998,0.00021362654,0,NA,NA,NA,NA,0,NA,NA,1,NA,NA,5000,0,5000,0,0,0,0,0,0,1,1,NA,NA,0,20000000,4000,0,0,0,0,0,1240,155,260
