"hhid","province","zone","rice","area_rice_harvested","area_rice_planted","qty_rice_harvested","qty_rice_own_use","qty_rice_sale","value_rice_prod","cashew","area_cashew_harvested","area_cashew_planted","qty_cashew_harvested","qty_cashew_own_use","qty_cashew_sale","cashew_harv_sold_pct","sold_cashew","cashew_area_agland_pct","cashew_area_total_pct","cashew_price_impt","value_cashew_prod","cashew_price"
"HID757613",7,"Coastal",1,0.92,0.92,5000,0,0,5100000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID757617",21,"Plain",1,0.5,0.5,2000,0,0,1860000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID757720",4,"Tonle Sap",1,0.5,0.5,2400,0,0,2160000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID757801",9,"Coastal",0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID757900",2,"Tonle Sap",1,0.5,0.5,2400,0,0,2160000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID758242",14,"Plain",1,1.3,1.3,4400,0,0,4092000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID758341",12,"Phnom Penh",0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID758358",8,"Plain",0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID758362",25,"Plain",0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID758367",4,"Tonle Sap",1,0.68,0.68,5460,2230,500,4368000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID758389",15,"Tonle Sap",1,3.5,3.5,1000,0,0,900000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID758450",21,"Plain",1,0.67,0.67,8300,0,0,7719000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID758524",6,"Tonle Sap",0,NA,NA,NA,NA,NA,NA,1,2.6,2.6,5600,0,2800,0.5,1,0.77591097,3.25,0,25200000,4500
